State,County,Income
Indiana,Buena Vista,"49,269"
Indiana,Butler,"57,331"
Indiana,Calhoun,"59,532"
Indiana,Carroll,"60,497"
Indiana,Cass,"56,698"
Indiana,Cedar,"62,671"
Indiana,Cerro Gordo,"61,338"
Indiana,Cherokee,"67,753"
Indiana,Chickasaw,"73,064"
Indiana,Clarke,"45,760"
Indiana,Clay,"59,372"
Indiana,Clayton,"60,701"
Indiana,Clinton,"51,474"
Indiana,Crawford,"52,996"
Indiana,Dallas,"76,813"
Indiana,Davis,"45,895"
Indiana,Decatur,"43,444"
Indiana,Delaware,"57,849"
Indiana,Des Moines,"58,622"
Indiana,Dickinson,"71,287"
Indiana,Dubuque,"58,027"
Indiana,Emmet,"51,398"
Indiana,Fayette,"50,665"
Indiana,Floyd,"56,206"
Indiana,Franklin,"61,597"
Indiana,Fremont,"61,317"
Indiana,Greene,"59,990"
Indiana,Grundy,"62,645"
Indiana,Guthrie,"65,315"
Indiana,Hamilton,"58,746"
Indiana,Hancock,"61,665"
Indiana,Hardin,"61,183"
Indiana,Harrison,"55,926"
Indiana,Henry,"49,339"
Indiana,Howard,"59,877"
Indiana,Humboldt,"57,179"
Indiana,Ida,"68,789"
Indiana,Iowa,"59,734"
Indiana,Jackson,"53,974"
Indiana,Jasper,"50,197"
Indiana,Jefferson,"53,380"
Indiana,Johnson,"60,934"
Indiana,Jones,"52,356"
Indiana,Keokuk,"54,532"
Indiana,Kossuth,"63,200"
Indiana,Lee,"49,412"
Indiana,Linn,"59,685"
Indiana,Louisa,"51,581"
Indiana,Lucas,"48,360"
Indiana,Lyon,"65,527"
Indiana,Madison,"57,314"
Indiana,Mahaska,"50,087"
Indiana,Marion,"57,927"
Indiana,Marshall,"48,899"
Indiana,Mills,"67,227"
Indiana,Mitchell,"75,311"
Indiana,Monona,"57,226"
Indiana,Monroe,"53,781"
Indiana,Montgomery,"48,838"
Indiana,Muscatine,"53,470"
Indiana,O'Brien,"60,762"
Indiana,Osceola,"57,362"
Indiana,Page,"52,360"
Indiana,Palo Alto,"58,036"
Indiana,Plymouth,"63,028"
Indiana,Pocahontas,"59,043"
Indiana,Polk,"61,908"
Indiana,Pottawattamie,"51,378"
Indiana,Poweshiek,"53,043"
Indiana,Ringgold,"57,890"
Indiana,Sac,"67,441"
Indiana,Scott,"61,380"
Indiana,Shelby,"63,076"
Indiana,Sioux,"59,185"
Indiana,Story,"48,421"
Indiana,Tama,"56,917"
Indiana,Taylor,"55,629"
Indiana,Union,"49,179"
Indiana,Van Buren,"47,167"
Indiana,Wapello,"45,210"
Indiana,Warren,"59,397"
Indiana,Washington,"71,324"
Indiana,Wayne,"52,356"
Indiana,Webster,"51,407"
Indiana,Winnebago,"51,433"
Indiana,Winneshiek,"59,174"
Indiana,Woodbury,"49,822"
Indiana,Worth,"53,655"
Indiana,Wright,"57,903"
Kansas,Allen,"48,367"
Kansas,Anderson,"54,564"
Kansas,Atchison,"44,558"
Kansas,Barber,"54,329"
Kansas,Barton,"53,073"
Kansas,Bourbon,"48,308"
Kansas,Brown,"51,797"
Kansas,Butler,"52,247"
Kansas,Chase,"60,498"
Kansas,Chautauqua,"43,868"
Kansas,Cherokee,"51,304"
Kansas,Cheyenne,"66,687"
Kansas,Clark,"55,860"
Kansas,Clay,"52,127"
Kansas,Cloud,"47,564"
Kansas,Coffey,"59,522"
Kansas,Comanche,"50,363"
Kansas,Cowley,"43,483"
Kansas,Crawford,"45,203"
Kansas,Decatur,"57,957"
Kansas,Dickinson,"49,309"
Kansas,Doniphan,"51,252"
Kansas,Douglas,"51,852"
Kansas,Edwards,"69,453"
Kansas,Elk,"43,195"
Kansas,Ellis,"54,414"
Kansas,Ellsworth,"48,229"
Kansas,Finney,"48,330"
Kansas,Ford,"47,093"
Kansas,Franklin,"49,244"
Kansas,Geary,"50,749"
Kansas,Gove,"80,922"
Kansas,Graham,"61,443"
Kansas,Grant,"45,691"
Kansas,Gray,"66,373"
Kansas,Greeley,"100,968"
Kansas,Greenwood,"47,809"
Kansas,Hamilton,"72,859"
Kansas,Harper,"60,523"
Kansas,Harvey,"50,317"
